open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1735689600000,2025-01-01T00:00:00Z,3337.78000000,3365.71000000,3335.84000000,3363.70000000,8894.44440000,1735693199999,2025-01-01T00:59:59.999000Z,29821272.00821100,54290,5447.53240000,18265028.78115900
1735693200000,2025-01-01T01:00:00Z,3363.69000000,3366.40000000,3342.67000000,3346.54000000,6138.13760000,1735696799999,2025-01-01T01:59:59.999000Z,20594980.61514600,46722,3381.62760000,11348564.27375700
1735696800000,2025-01-01T02:00:00Z,3346.54000000,3368.42000000,3346.35000000,3362.61000000,8775.81000000,1735700399999,2025-01-01T02:59:59.999000Z,29461419.59132500,44926,4749.99900000,15945033.48632400
1735700400000,2025-01-01T03:00:00Z,3362.61000000,3363.72000000,3351.00000000,3355.20000000,4025.46460000,1735703999999,2025-01-01T03:59:59.999000Z,13514045.15352600,22334,2120.56090000,7118731.55192400
1735704000000,2025-01-01T04:00:00Z,3355.20000000,3356.61000000,3339.45000000,3341.14000000,4626.65060000,1735707599999,2025-01-01T04:59:59.999000Z,15488161.89496900,22341,2331.67310000,7805696.97952200
1735707600000,2025-01-01T05:00:00Z,3341.14000000,3351.57000000,3340.02000000,3345.41000000,3247.06210000,1735711199999,2025-01-01T05:59:59.999000Z,10867391.53346400,21388,1894.00390000,6338939.55477400
1735711200000,2025-01-01T06:00:00Z,3345.41000000,3348.00000000,3336.88000000,3346.60000000,6325.14910000,1735714799999,2025-01-01T06:59:59.999000Z,21140695.62056500,25641,2074.28640000,6934002.71703300
1735714800000,2025-01-01T07:00:00Z,3346.61000000,3350.49000000,3339.35000000,3347.12000000,5869.42110000,1735718399999,2025-01-01T07:59:59.999000Z,19625068.23360400,19809,3939.02530000,13171481.48967000
1735718400000,2025-01-01T08:00:00Z,3347.11000000,3348.84000000,3331.56000000,3337.01000000,8469.97510000,1735721999999,2025-01-01T08:59:59.999000Z,28278767.52989600,46052,3837.93540000,12812434.75356200
1735722000000,2025-01-01T09:00:00Z,3337.00000000,3341.00000000,3313.88000000,3334.64000000,18722.69240000,1735725599999,2025-01-01T09:59:59.999000Z,62229421.93514200,83422,8514.24890000,28301959.23416000
1735725600000,2025-01-01T10:00:00Z,3334.83000000,3338.82000000,3325.70000000,3326.69000000,5694.95020000,1735729199999,2025-01-01T10:59:59.999000Z,18977736.86266300,37356,2123.92460000,7079453.78606000
1735729200000,2025-01-01T11:00:00Z,3326.69000000,3348.35000000,3323.71000000,3341.00000000,6732.58270000,1735732799999,2025-01-01T11:59:59.999000Z,22454456.62237000,44031,4415.72420000,14726137.39143500
1735732800000,2025-01-01T12:00:00Z,3341.01000000,3352.31000000,3338.58000000,3347.46000000,5866.89530000,1735736399999,2025-01-01T12:59:59.999000Z,19637051.88939300,41652,3404.93740000,11397019.59187800
1735736400000,2025-01-01T13:00:00Z,3347.46000000,3353.50000000,3332.51000000,3343.37000000,6632.23170000,1735739999999,2025-01-01T13:59:59.999000Z,22160117.15103000,42125,3538.82570000,11823762.26291100
1735740000000,2025-01-01T14:00:00Z,3343.37000000,3359.37000000,3328.20000000,3345.86000000,10728.98120000,1735743599999,2025-01-01T14:59:59.999000Z,35871017.64502300,92956,5302.23690000,17732886.05662600
1735743600000,2025-01-01T15:00:00Z,3345.86000000,3355.91000000,3333.42000000,3352.93000000,7671.63200000,1735747199999,2025-01-01T15:59:59.999000Z,25666642.18971900,61491,4245.40130000,14205594.37625000
1735747200000,2025-01-01T16:00:00Z,3352.93000000,3357.19000000,3332.26000000,3338.68000000,9897.78700000,1735750799999,2025-01-01T16:59:59.999000Z,33103234.85748200,80587,4475.81840000,14970001.11095100
1735750800000,2025-01-01T17:00:00Z,3338.68000000,3344.81000000,3323.03000000,3343.70000000,6245.62190000,1735754399999,2025-01-01T17:59:59.999000Z,20822635.17517900,65178,3590.11830000,11971872.88997500
1735754400000,2025-01-01T18:00:00Z,3343.71000000,3352.00000000,3333.26000000,3348.57000000,7571.92470000,1735757999999,2025-01-01T18:59:59.999000Z,25315460.40324700,60088,4353.21540000,14553928.91872100
1735758000000,2025-01-01T19:00:00Z,3348.57000000,3364.14000000,3337.92000000,3356.55000000,12249.52590000,1735761599999,2025-01-01T19:59:59.999000Z,41051947.29254100,82872,7126.96660000,23890123.63859900
1735761600000,2025-01-01T20:00:00Z,3356.56000000,3362.60000000,3352.00000000,3360.40000000,9048.46810000,1735765199999,2025-01-01T20:59:59.999000Z,30383639.19228000,49214,6017.47750000,20206221.20497100
1735765200000,2025-01-01T21:00:00Z,3360.41000000,3371.39000000,3353.76000000,3368.39000000,8283.24530000,1735768799999,2025-01-01T21:59:59.999000Z,27849157.36195700,41273,4330.80910000,14562782.23958100
1735768800000,2025-01-01T22:00:00Z,3368.39000000,3374.85000000,3359.00000000,3361.63000000,12395.12350000,1735772399999,2025-01-01T22:59:59.999000Z,41727676.95582700,40430,5080.95310000,17106176.97921600
1735772400000,2025-01-01T23:00:00Z,3361.63000000,3366.79000000,3352.66000000,3360.38000000,6124.80960000,1735775999999,2025-01-01T23:59:59.999000Z,20571397.98140600,56041,3220.72030000,10817425.01840300
1735776000000,2025-01-02T00:00:00Z,3360.39000000,3400.00000000,3354.50000000,3389.92000000,25353.44950000,1735779599999,2025-01-02T00:59:59.999000Z,85833727.02176700,126206,14624.33180000,49526369.54541700
1735779600000,2025-01-02T01:00:00Z,3389.91000000,3405.60000000,3377.72000000,3383.92000000,12042.45530000,1735783199999,2025-01-02T01:59:59.999000Z,40868396.32489400,87332,5309.91520000,18015056.47919500
1735783200000,2025-01-02T02:00:00Z,3383.93000000,3398.50000000,3378.00000000,3398.49000000,6649.56220000,1735786799999,2025-01-02T02:59:59.999000Z,22533126.76868700,54839,3670.82990000,12439268.22634300
1735786800000,2025-01-02T03:00:00Z,3398.49000000,3401.99000000,3387.23000000,3388.55000000,8153.03100000,1735790399999,2025-01-02T03:59:59.999000Z,27656839.09702500,44994,3086.13670000,10470858.04105900
1735790400000,2025-01-02T04:00:00Z,3388.54000000,3427.54000000,3388.00000000,3417.69000000,21263.61610000,1735793999999,2025-01-02T04:59:59.999000Z,72391803.21763400,94261,11895.90500000,40516492.86723800
1735794000000,2025-01-02T05:00:00Z,3417.69000000,3419.14000000,3403.99000000,3412.39000000,9082.26480000,1735797599999,2025-01-02T05:59:59.999000Z,30991011.98478400,51456,3921.49960000,13381258.41248700
1735797600000,2025-01-02T06:00:00Z,3412.40000000,3415.68000000,3402.13000000,3410.37000000,6764.20910000,1735801199999,2025-01-02T06:59:59.999000Z,23048339.47713300,50806,3308.92210000,11274674.17211100
1735801200000,2025-01-02T07:00:00Z,3410.37000000,3422.00000000,3408.79000000,3420.05000000,8269.10470000,1735804799999,2025-01-02T07:59:59.999000Z,28252863.24366100,42236,4209.44600000,14381999.09449800
1735804800000,2025-01-02T08:00:00Z,3420.06000000,3442.62000000,3414.21000000,3437.93000000,12781.06330000,1735808399999,2025-01-02T08:59:59.999000Z,43804109.26071100,65582,6917.55150000,23713664.61828700
1735808400000,2025-01-02T09:00:00Z,3437.92000000,3470.00000000,3434.40000000,3467.95000000,16975.89940000,1735811999999,2025-01-02T09:59:59.999000Z,58542885.09022300,100841,9183.43910000,31683255.98895900
1735812000000,2025-01-02T10:00:00Z,3467.94000000,3476.00000000,3457.99000000,3468.81000000,13175.54730000,1735815599999,2025-01-02T10:59:59.999000Z,45685126.30336100,93224,6601.08140000,22889810.19735700
1735815600000,2025-01-02T11:00:00Z,3468.81000000,3475.00000000,3456.87000000,3471.18000000,8525.12210000,1735819199999,2025-01-02T11:59:59.999000Z,29556505.94343800,61055,3599.57060000,12481220.58346300
1735819200000,2025-01-02T12:00:00Z,3471.18000000,3481.14000000,3465.93000000,3480.48000000,11713.99020000,1735822799999,2025-01-02T12:59:59.999000Z,40709693.06386000,64061,6604.39990000,22952077.64846700
1735822800000,2025-01-02T13:00:00Z,3480.48000000,3484.40000000,3459.44000000,3465.85000000,17496.42640000,1735826399999,2025-01-02T13:59:59.999000Z,60701567.74001600,88617,6833.01860000,23705533.38147500
1735826400000,2025-01-02T14:00:00Z,3465.86000000,3509.99000000,3440.38000000,3495.19000000,48467.55360000,1735829999999,2025-01-02T14:59:59.999000Z,168408230.17365300,281276,26008.41030000,90396144.57768800
1735830000000,2025-01-02T15:00:00Z,3495.15000000,3496.26000000,3456.52000000,3463.51000000,22439.98780000,1735833599999,2025-01-02T15:59:59.999000Z,77915212.41577100,236083,9772.98550000,33933137.53398900
1735833600000,2025-01-02T16:00:00Z,3463.52000000,3491.19000000,3448.60000000,3469.54000000,20071.71580000,1735837199999,2025-01-02T16:59:59.999000Z,69727785.40037000,153704,9939.28540000,34538620.04125100
1735837200000,2025-01-02T17:00:00Z,3469.54000000,3478.95000000,3428.99000000,3450.46000000,19324.20890000,1735840799999,2025-01-02T17:59:59.999000Z,66716679.19113000,180336,8934.45660000,30827287.81854300
1735840800000,2025-01-02T18:00:00Z,3450.42000000,3465.53000000,3440.21000000,3465.24000000,10697.78900000,1735844399999,2025-01-02T18:59:59.999000Z,36965501.30999100,95569,6056.38340000,20928337.15897100
1735844400000,2025-01-02T19:00:00Z,3465.23000000,3474.69000000,3459.13000000,3463.18000000,9031.37110000,1735847999999,2025-01-02T19:59:59.999000Z,31307112.83087500,99256,4263.50350000,14781854.66277000
1735848000000,2025-01-02T20:00:00Z,3463.18000000,3475.28000000,3452.04000000,3453.00000000,7230.90410000,1735851599999,2025-01-02T20:59:59.999000Z,25040374.74255200,101053,3163.62620000,10958210.65757100
1735851600000,2025-01-02T21:00:00Z,3453.00000000,3455.93000000,3443.01000000,3454.20000000,6454.73380000,1735855199999,2025-01-02T21:59:59.999000Z,22268213.05985400,65509,3093.65180000,10672660.60351500
1735855200000,2025-01-02T22:00:00Z,3454.20000000,3454.20000000,3421.79000000,3440.61000000,9097.71280000,1735858799999,2025-01-02T22:59:59.999000Z,31267872.32432400,70592,4003.60140000,13759937.61660400
1735858800000,2025-01-02T23:00:00Z,3440.60000000,3456.99000000,3437.49000000,3455.67000000,7571.16910000,1735862399999,2025-01-02T23:59:59.999000Z,26093256.17716800,64187,4042.41120000,13933325.59470700
1735862400000,2025-01-03T00:00:00Z,3455.68000000,3466.54000000,3446.75000000,3449.22000000,6987.20270000,1735865999999,2025-01-03T00:59:59.999000Z,24142989.44958200,73135,3396.58060000,11739650.40875800
1735866000000,2025-01-03T01:00:00Z,3449.22000000,3465.59000000,3442.62000000,3464.83000000,7084.81170000,1735869599999,2025-01-03T01:59:59.999000Z,24474943.39940100,64695,4036.18420000,13946072.99341000
1735869600000,2025-01-03T02:00:00Z,3464.83000000,3477.03000000,3457.04000000,3457.95000000,9491.46320000,1735873199999,2025-01-03T02:59:59.999000Z,32922745.20576300,53028,6240.51900000,21648409.78880800
1735873200000,2025-01-03T03:00:00Z,3457.96000000,3472.89000000,3456.02000000,3470.16000000,6813.80430000,1735876799999,2025-01-03T03:59:59.999000Z,23598958.90779600,38355,4179.09440000,14472443.12725100
1735876800000,2025-01-03T04:00:00Z,3470.17000000,3470.94000000,3456.00000000,3458.38000000,4721.45200000,1735880399999,2025-01-03T04:59:59.999000Z,16349479.60171100,40012,2051.97290000,7105399.69915200
1735880400000,2025-01-03T05:00:00Z,3458.39000000,3460.51000000,3444.81000000,3455.98000000,5278.99390000,1735883999999,2025-01-03T05:59:59.999000Z,18224670.18564500,50853,2329.26450000,8041955.39357100
1735884000000,2025-01-03T06:00:00Z,3455.98000000,3461.51000000,3442.00000000,3442.60000000,6067.36880000,1735887599999,2025-01-03T06:59:59.999000Z,20938264.10612800,48851,2203.18690000,7605052.98999800
1735887600000,2025-01-03T07:00:00Z,3442.59000000,3444.40000000,3432.44000000,3433.27000000,10366.92080000,1735891199999,2025-01-03T07:59:59.999000Z,35641678.48510300,55948,3973.04160000,13657393.63383000
1735891200000,2025-01-03T08:00:00Z,3433.27000000,3442.51000000,3423.44000000,3430.20000000,9863.85580000,1735894799999,2025-01-03T08:59:59.999000Z,33857666.90595700,57564,4307.33480000,14787774.56870700
1735894800000,2025-01-03T09:00:00Z,3430.20000000,3450.85000000,3429.11000000,3443.62000000,8419.41830000,1735898399999,2025-01-03T09:59:59.999000Z,28985991.86861400,65712,4607.35700000,15861277.17215000
1735898400000,2025-01-03T10:00:00Z,3443.63000000,3452.00000000,3438.59000000,3446.01000000,6043.21110000,1735901999999,2025-01-03T10:59:59.999000Z,20819663.20446500,45253,3068.65760000,10572367.99215500
1735902000000,2025-01-03T11:00:00Z,3446.00000000,3468.01000000,3446.00000000,3465.62000000,8910.83430000,1735905599999,2025-01-03T11:59:59.999000Z,30819533.63597800,57913,4943.31770000,17096915.14551100
1735905600000,2025-01-03T12:00:00Z,3465.61000000,3476.53000000,3461.26000000,3463.83000000,9335.38410000,1735909199999,2025-01-03T12:59:59.999000Z,32375135.98876900,68247,4156.03660000,14416091.26395700
1735909200000,2025-01-03T13:00:00Z,3463.83000000,3498.38000000,3463.51000000,3481.85000000,20429.62580000,1735912799999,2025-01-03T13:59:59.999000Z,71206359.75484000,149023,10380.60260000,36184248.79063200
1735912800000,2025-01-03T14:00:00Z,3481.86000000,3536.64000000,3481.61000000,3527.19000000,40404.76480000,1735916399999,2025-01-03T14:59:59.999000Z,142090519.45848300,261830,22742.48260000,79954582.84648700
1735916400000,2025-01-03T15:00:00Z,3527.19000000,3576.00000000,3520.09000000,3565.13000000,43427.65960000,1735919999999,2025-01-03T15:59:59.999000Z,154140075.32819900,272831,21926.33700000,77840800.11575700
1735920000000,2025-01-03T16:00:00Z,3565.14000000,3598.80000000,3565.14000000,3584.28000000,36438.05760000,1735923599999,2025-01-03T16:59:59.999000Z,130641816.16462000,237465,16635.28920000,59637472.29719800
1735923600000,2025-01-03T17:00:00Z,3584.28000000,3593.45000000,3573.60000000,3575.47000000,17057.27700000,1735927199999,2025-01-03T17:59:59.999000Z,61098722.47553200,109883,8528.95180000,30553285.53551800
1735927200000,2025-01-03T18:00:00Z,3575.47000000,3617.50000000,3574.08000000,3605.59000000,21918.69920000,1735930799999,2025-01-03T18:59:59.999000Z,78950409.87562800,146308,11856.79470000,42702913.70241600
1735930800000,2025-01-03T19:00:00Z,3605.59000000,3630.00000000,3602.24000000,3622.83000000,16233.71840000,1735934399999,2025-01-03T19:59:59.999000Z,58744755.85404600,123501,9043.89380000,32722865.88778400
1735934400000,2025-01-03T20:00:00Z,3622.82000000,3623.44000000,3600.00000000,3600.57000000,12673.31720000,1735937999999,2025-01-03T20:59:59.999000Z,45739737.37263200,99102,5118.11650000,18472522.16851100
1735938000000,2025-01-03T21:00:00Z,3600.57000000,3616.69000000,3595.00000000,3614.39000000,9275.14670000,1735941599999,2025-01-03T21:59:59.999000Z,33477884.71132300,75489,5137.62240000,18545208.41173500
1735941600000,2025-01-03T22:00:00Z,3614.38000000,3624.38000000,3610.21000000,3616.18000000,9072.87030000,1735945199999,2025-01-03T22:59:59.999000Z,32829134.08373300,52573,4959.13740000,17946628.46010400
1735945200000,2025-01-03T23:00:00Z,3616.19000000,3617.72000000,3604.63000000,3609.01000000,7725.20280000,1735948799999,2025-01-03T23:59:59.999000Z,27882765.07786600,46240,3372.29920000,12170893.63756200
1735948800000,2025-01-04T00:00:00Z,3609.00000000,3620.86000000,3601.81000000,3602.41000000,8720.34630000,1735952399999,2025-01-04T00:59:59.999000Z,31474026.32365500,55923,3964.87510000,14313680.84476900
1735952400000,2025-01-04T01:00:00Z,3602.42000000,3604.11000000,3579.92000000,3596.27000000,12627.90750000,1735955999999,2025-01-04T01:59:59.999000Z,45333984.04200500,72687,5569.21020000,19991672.28873200
1735956000000,2025-01-04T02:00:00Z,3596.28000000,3600.00000000,3582.88000000,3596.40000000,5799.98040000,1735959599999,2025-01-04T02:59:59.999000Z,20833041.85922600,46402,3094.70880000,11117234.94731600
1735959600000,2025-01-04T03:00:00Z,3596.40000000,3600.42000000,3591.00000000,3597.97000000,4911.31790000,1735963199999,2025-01-04T03:59:59.999000Z,17659059.16770500,36148,2778.90140000,9991144.41343700
1735963200000,2025-01-04T04:00:00Z,3597.98000000,3597.98000000,3584.16000000,3591.47000000,6145.74550000,1735966799999,2025-01-04T04:59:59.999000Z,22059143.80294400,35558,3396.97390000,12192567.00202500
1735966800000,2025-01-04T05:00:00Z,3591.48000000,3597.01000000,3586.71000000,3596.65000000,6759.10670000,1735970399999,2025-01-04T05:59:59.999000Z,24284563.82033000,32206,4182.82930000,15029597.17947000
1735970400000,2025-01-04T06:00:00Z,3596.66000000,3607.13000000,3595.20000000,3600.61000000,8055.57100000,1735973999999,2025-01-04T06:59:59.999000Z,29000885.85027500,36769,4745.75000000,17085795.00041300
1735974000000,2025-01-04T07:00:00Z,3600.61000000,3609.81000000,3593.20000000,3594.04000000,8427.04170000,1735977599999,2025-01-04T07:59:59.999000Z,30351249.45913000,40112,4857.76530000,17499003.47044600
