open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1735833600000,2025-01-02T16:00:00Z,3463.52000000,3491.19000000,3428.99000000,3463.18000000,59125.08480000,1735847999999,2025-01-02T19:59:59.999000Z,204717078.73236600,528865,29193.62890000,101076099.68153500
1735848000000,2025-01-02T20:00:00Z,3463.18000000,3475.28000000,3421.79000000,3455.67000000,30354.51980000,1735862399999,2025-01-02T23:59:59.999000Z,104669716.30389800,301341,14303.29060000,49324134.47239700
1735862400000,2025-01-03T00:00:00Z,3455.68000000,3477.03000000,3442.62000000,3470.16000000,30377.28190000,1735876799999,2025-01-03T03:59:59.999000Z,105139636.96254200,229213,17852.37820000,61806576.31822700
1735876800000,2025-01-03T04:00:00Z,3470.17000000,3470.94000000,3432.44000000,3433.27000000,26434.73550000,1735891199999,2025-01-03T07:59:59.999000Z,91154092.37858700,195664,10557.46590000,36409801.71655100
1735891200000,2025-01-03T08:00:00Z,3433.27000000,3468.01000000,3423.44000000,3465.62000000,33237.31950000,1735905599999,2025-01-03T11:59:59.999000Z,114482855.61501400,226442,16926.66710000,58318334.87852300
1735905600000,2025-01-03T12:00:00Z,3465.61000000,3576.00000000,3461.26000000,3565.13000000,113597.43430000,1735919999999,2025-01-03T15:59:59.999000Z,399812090.53029100,751931,59205.45880000,208395723.01683300
1735920000000,2025-01-03T16:00:00Z,3565.14000000,3630.00000000,3565.14000000,3622.83000000,91647.75220000,1735934399999,2025-01-03T19:59:59.999000Z,329435704.36982600,617157,46064.92950000,165616537.42291600
1735934400000,2025-01-03T20:00:00Z,3622.82000000,3624.38000000,3595.00000000,3609.01000000,38746.53700000,1735948799999,2025-01-03T23:59:59.999000Z,139929521.24555400,273404,18587.17550000,67135252.67791200
1735948800000,2025-01-04T00:00:00Z,3609.00000000,3620.86000000,3579.92000000,3597.97000000,32059.55210000,1735963199999,2025-01-04T03:59:59.999000Z,115300111.39259100,211160,15407.69550000,55413732.49425400
1735963200000,2025-01-04T04:00:00Z,3597.98000000,3609.81000000,3584.16000000,3594.04000000,29387.46490000,1735977599999,2025-01-04T07:59:59.999000Z,105695842.93267900,144645,17183.31850000,61806962.65235400
1735977600000,2025-01-04T08:00:00Z,3594.05000000,3605.57000000,3572.42000000,3602.01000000,26671.40000000,1735991999999,2025-01-04T11:59:59.999000Z,95753637.21279200,178140,14145.08950000,50792181.08340200
1735992000000,2025-01-04T12:00:00Z,3602.01000000,3663.25000000,3592.06000000,3607.81000000,74947.16750000,1736006399999,2025-01-04T15:59:59.999000Z,272022513.10505600,469624,36400.45290000,132134937.45116000
